,song_name,artist_name,key_scale,dynamic_complexity,happy,non_happy,arousal,valence,danceability,aggressive,non_aggressive,sad,non_sad,relaxed,non_relaxed,party,non_party
abcdefu - GAYLE,abcdefu,GAYLE,minor,3.9868128299713135,0.107358805835247,0.8926411867141724,5.157574653625488,5.566329002380371,1.1535667181015017,0.4819782078266144,0.5180217623710632,0.7087708711624146,0.2912291884422302,0.4945273697376251,0.5054726600646973,0.3378876447677612,0.662112295627594
"באתי להציל אותך - Agam Buhbut, Shahar Saul",באתי להציל אותך,"Agam Buhbut, Shahar Saul",minor,4.193586826324463,0.2178307771682739,0.7821692228317261,5.290939331054688,4.954988479614258,1.079528570175171,0.2963540256023407,0.7036460041999817,0.8822711706161499,0.1177287697792053,0.5954703688621521,0.4045296609401703,0.253897875547409,0.7461020946502686
Bad Habits - Ed Sheeran,Bad Habits,Ed Sheeran,minor,3.305598020553589,0.1000375971198082,0.8999624252319336,4.58023738861084,4.600828170776367,1.2700320482254028,0.6598000526428223,0.3401999473571777,0.863067626953125,0.1369324177503585,0.7367210388183594,0.2632789313793182,0.2365019768476486,0.763498067855835
"רעשים - Osher Cohen, Noa Kirel",רעשים,"Osher Cohen, Noa Kirel",major,5.156702518463135,0.0316989012062549,0.9683010578155518,4.111141204833984,4.378161430358887,1.0159536600112915,0.1962973922491073,0.8037025928497314,0.5400374531745911,0.4599625766277313,0.2164187133312225,0.7835813164710999,0.4433812201023102,0.5566188097000122
"Cold Heart - PNAU Remix - Elton John, Dua Lipa, PNAU",Cold Heart - PNAU Remix,"Elton John, Dua Lipa, PNAU",major,4.871096134185791,0.0520461313426494,0.9479538798332214,4.063948631286621,4.577731132507324,1.239037036895752,0.3322832286357879,0.6677167415618896,0.6394753456115723,0.3605247139930725,0.2571902573108673,0.7428097128868103,0.4179433584213257,0.5820567011833191
Shivers - Ed Sheeran,Shivers,Ed Sheeran,major,3.551146507263184,0.0059684393927454,0.9940314888954164,3.616345882415772,4.599686622619629,1.1652158498764038,0.0422057062387466,0.9577943086624146,0.36111781001091,0.6388821601867676,0.0241020303219556,0.9758979678153992,0.8338269591331482,0.1661730259656906
אם הייתי צריכה - Odeya,אם הייתי צריכה,Odeya,major,5.86335563659668,0.0077553205192089,0.9922446608543396,3.8212170600891113,4.851199150085449,1.061436653137207,0.0326279290020465,0.9673721194267272,0.3121213018894195,0.6878787279129028,0.0168690718710422,0.983130931854248,0.8633856177330017,0.136614441871643
"פילטרים יפים - Eden Ben Zaken, Eden Hason",פילטרים יפים,"Eden Ben Zaken, Eden Hason",major,4.4702677726745605,0.0059684393927454,0.9940314888954164,3.616345882415772,4.599686622619629,1.096340298652649,0.0422057062387466,0.9577943086624146,0.36111781001091,0.6388821601867676,0.0241020303219556,0.9758979678153992,0.8338269591331482,0.1661730259656906
"ביחד - Marina Maximilian, Guy Mentesh",ביחד,"Marina Maximilian, Guy Mentesh",major,7.227883338928223,0.0281312111765146,0.9718688130378724,4.841093063354492,5.557464122772217,1.1018059253692627,0.2232154160737991,0.7767845392227173,0.4825518429279327,0.5174481272697449,0.1406751722097396,0.8593248724937439,0.6317691206932068,0.3682308197021484
יחפים - Jasmin Moallem,יחפים,Jasmin Moallem,major,5.801971435546875,0.0078832227736711,0.9921167492866516,3.779279947280884,4.68713903427124,1.021230697631836,0.0502912513911724,0.9497087001800536,0.3633940517902374,0.636605978012085,0.0280086509883403,0.9719913601875304,0.7854164838790894,0.2145835012197494
Woman - Doja Cat,Woman,Doja Cat,major,4.573262691497803,0.1896315962076187,0.8103684186935425,3.900267601013184,4.104105472564697,1.4529414176940918,0.2519906759262085,0.7480093240737915,0.5601034164428711,0.4398965835571289,0.2503562867641449,0.7496436834335327,0.5362072587013245,0.4637927412986755
בית משוגעים - Ran Danker,בית משוגעים,Ran Danker,minor,3.777141571044922,0.3323431611061096,0.6676568984985352,4.772275447845459,4.606555461883545,1.1775031089782717,0.3680731654167175,0.6319268345832825,0.8285093307495117,0.1714906841516494,0.5206112861633301,0.4793887138366699,0.3992510437965393,0.6007489562034607
"מגבת באוויר - NOROZ, Ido B & Zooki",מגבת באוויר,"NOROZ, Ido B & Zooki",-9999,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
